productCode,productName,productLine,productVendor,quantityInStock,buyPrice,MSRP
S18_3685,1948 Porsche Type 356 Roadster,Classic Cars,Gearbox Collectibles,8990,62.16,141.28
S18_3782,1957 Vespa GS150,Motorcycles,Studio M Art Models,7689,32.95,62.17
S18_3856,1941 Chevrolet Special Deluxe Cabriolet,Vintage Cars,Exoto Designs,2378,64.58,105.87
S18_4027,1970 Triumph Spitfire,Classic Cars,Min Lin Diecast,5545,91.92,143.62
S18_4409,1932 Alfa Romeo 8C2300 Spider Sport,Vintage Cars,Exoto Designs,6553,43.26,92.03
S18_4522,1904 Buick Runabout,Vintage Cars,Exoto Designs,8290,52.66,87.77
S18_4600,1940s Ford truck,Trucks and Buses,Motor City Art Classics,3128,84.76,121.08
S18_4668,1939 Cadillac Limousine,Vintage Cars,Studio M Art Models,6645,23.14,50.31
S18_4721,1957 Corvette Convertible,Classic Cars,Classic Metal Creations,1249,69.93,148.8
S18_4933,1957 Ford Thunderbird,Classic Cars,Studio M Art Models,3209,34.21,71.27
S24_1046,1970 Chevy Chevelle SS 454,Classic Cars,Unimax Art Galleries,1005,49.24,73.49
S24_1444,1970 Dodge Coronet,Classic Cars,Highway 66 Mini Classics,4074,32.37,57.8
S24_1578,1997 BMW R 1100 S,Motorcycles,Autoart Studio Design,7003,60.86,112.7
S24_1628,1966 Shelby Cobra 427 S/C,Classic Cars,Carousel DieCast Legends,8197,29.18,50.31
S24_1785,1928 British Royal Navy Airplane,Planes,Classic Metal Creations,3627,66.74,109.42
S24_1937,1939 Chevrolet Deluxe Coupe,Vintage Cars,Motor City Art Classics,7332,22.57,33.19
S24_2000,1960 BSA Gold Star DBD34,Motorcycles,Highway 66 Mini Classics,15,37.32,76.17
S24_2011,18th century schooner,Ships,Carousel DieCast Legends,1898,82.34,122.89
S24_2022,1938 Cadillac V-16 Presidential Limousine,Vintage Cars,Classic Metal Creations,2847,20.61,44.8
S24_2300,1962 Volkswagen Microbus,Trucks and Buses,Autoart Studio Design,2327,61.34,127.79
S24_2360,1982 Ducati 900 Monster,Motorcycles,Highway 66 Mini Classics,6840,47.1,69.26
S24_2766,1949 Jaguar XK 120,Classic Cars,Classic Metal Creations,2350,47.25,90.87
S24_2840,1958 Chevy Corvette Limited Edition,Classic Cars,Carousel DieCast Legends,2542,15.91,35.36
S24_2841,1900s Vintage Bi-Plane,Planes,Autoart Studio Design,5942,34.25,68.51
S24_2887,1952 Citroen-15CV,Classic Cars,Exoto Designs,1452,72.82,117.44
S24_2972,1982 Lamborghini Diablo,Classic Cars,Second Gear Diecast,7723,16.24,37.76
S24_3151,1912 Ford Model T Delivery Wagon,Vintage Cars,Min Lin Diecast,9173,46.91,88.51
S24_3191,1969 Chevrolet Camaro Z28,Classic Cars,Exoto Designs,4695,50.51,85.61
S24_3371,1971 Alpine Renault 1600s,Classic Cars,Welly Diecast Productions,7995,38.58,61.23
S24_3420,1937 Horch 930V Limousine,Vintage Cars,Autoart Studio Design,2902,26.3,65.75
S24_3432,2002 Chevy Corvette,Classic Cars,Gearbox Collectibles,9446,62.11,107.08
S24_3816,1940 Ford Delivery Sedan,Vintage Cars,Carousel DieCast Legends,6621,48.64,83.86
S24_3856,1956 Porsche 356A Coupe,Classic Cars,Classic Metal Creations,6600,98.3,140.43
S24_3949,Corsair F4U ( Bird Cage),Planes,Second Gear Diecast,6812,29.34,68.24
S24_3969,1936 Mercedes Benz 500k Roadster,Vintage Cars,Red Start Diecast,2081,21.75,41.03
S24_4048,1992 Porsche Cayenne Turbo Silver,Classic Cars,Exoto Designs,6582,69.78,118.28
S24_4258,1936 Chrysler Airflow,Vintage Cars,Second Gear Diecast,4710,57.46,97.39
S24_4278,1900s Vintage Tri-Plane,Planes,Unimax Art Galleries,2756,36.23,72.45
S24_4620,1961 Chevrolet Impala,Classic Cars,Classic Metal Creations,7869,32.33,80.84
S32_1268,1980’s GM Manhattan Express,Trucks and Buses,Motor City Art Classics,5099,53.93,96.31
S32_1374,1997 BMW F650 ST,Motorcycles,Exoto Designs,178,66.92,99.89
S32_2206,1982 Ducati 996 R,Motorcycles,Gearbox Collectibles,9241,24.14,40.23
S32_2509,1954 Greyhound Scenicruiser,Trucks and Buses,Classic Metal Creations,2874,25.98,54.11
S32_3207,1950's Chicago Surface Lines Streetcar,Trains,Gearbox Collectibles,8601,26.72,62.14
S32_3522,1996 Peterbilt 379 Stake Bed with Outrigger,Trucks and Buses,Red Start Diecast,814,33.61,64.64
S32_4289,1928 Ford Phaeton Deluxe,Vintage Cars,Highway 66 Mini Classics,136,33.02,68.79
S32_4485,1974 Ducati 350 Mk3 Desmo,Motorcycles,Second Gear Diecast,3341,56.13,102.05
S50_1341,1930 Buick Marquette Phaeton,Vintage Cars,Studio M Art Models,7062,27.06,43.64
S50_1392,Diamond T620 Semi-Skirted Tanker,Trucks and Buses,Highway 66 Mini Classics,1016,68.29,115.75
S50_1514,1962 City of Detroit Streetcar,Trains,Classic Metal Creations,1645,37.49,58.58
S50_4713,2002 Yamaha YZR M1,Motorcycles,Autoart Studio Design,600,34.17,81.36
S700_1138,The Schooner Bluenose,Ships,Autoart Studio Design,1897,34,66.67
S700_1691,American Airlines: B767-300,Planes,Min Lin Diecast,5841,51.15,91.34
S700_1938,The Mayflower,Ships,Studio M Art Models,737,43.3,86.61
S700_2047,HMS Bounty,Ships,Unimax Art Galleries,3501,39.83,90.52
S700_2466,America West Airlines B757-200,Planes,Motor City Art Classics,9653,68.8,99.72
S700_2610,The USS Constitution Ship,Ships,Red Start Diecast,7083,33.97,72.28
S700_2824,1982 Camaro Z28,Classic Cars,Carousel DieCast Legends,6934,46.53,101.15
S700_2834,ATA: B757-300,Planes,Highway 66 Mini Classics,7106,59.33,118.65
S700_3167,F/A 18 Hornet 1/72,Planes,Motor City Art Classics,551,54.4,80
S700_3505,The Titanic,Ships,Carousel DieCast Legends,1956,51.09,100.17
S700_3962,The Queen Mary,Ships,Welly Diecast Productions,5088,53.63,99.31
S700_4002,American Airlines: MD-11S,Planes,Second Gear Diecast,8820,36.27,74.03
S72_1253,Boeing X-32A JSF,Planes,Motor City Art Classics,4857,32.77,49.66
S72_3212,Pont Yacht,Ships,Unimax Art Galleries,414,33.3,54.6
